"Lmids_new",""
10,0
30,0
50,0
70,0
90,0
110,0
130,0
150,0
170,0
190,0
210,0
230,0
250,0
270,0
290,0
310,0
330,6
350,2
370,8
390,4
410,6
430,7
450,5
470,18
490,9
510,9
530,11
550,7
570,11
590,18
610,25
630,27
650,42
670,74
690,234
710,482
730,731
750,820
770,970
790,1229
810,1265
830,1414
850,1195
870,1375
890,1222
910,884
930,724
950,459
970,281
990,105
1010,64
1030,34
1050,19
1070,9
1090,2
1110,1
1130,0
1150,0
1170,0
1190,0
1210,0
1230,0
1250,0
1270,0
1290,0
1310,0
1330,0
1350,0
1370,0
1390,0
1410,0
1430,0
1450,0
1470,0
1490,0
1510,0
1530,0
1550,0
1570,0
1590,0
1610,0
1630,0
1650,0
1670,0
1690,0
1710,0
1730,0
1750,0
1770,0
1790,0
1810,0
1830,0
1850,0
1870,0
1890,0
1910,0
1930,0
1950,0
