"Lmids_new",""
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,1
125,0
135,1
145,2
155,1
165,5
175,3
185,3
195,6
205,2
215,8
225,4
235,4
245,10
255,10
265,10
275,13
285,18
295,23
305,35
315,58
325,69
335,95
345,384
355,1060
365,1619
375,1746
385,1430
395,1223
405,997
415,784
425,711
435,558
445,453
455,402
465,336
475,275
485,215
495,176
505,114
515,106
525,78
535,51
545,37
555,22
565,20
575,11
585,12
595,6
605,1
615,5
625,4
635,0
645,1
655,1
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
