"Lmids_new",""
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,2
155,2
165,10
175,5
185,6
195,11
205,13
215,24
225,16
235,27
245,23
255,31
265,58
275,43
285,103
295,393
305,1676
315,3636
325,3988
335,3706
345,3452
355,3143
365,2774
375,2431
385,2030
395,1781
405,1566
415,1269
425,1027
435,800
445,728
455,555
465,469
475,419
485,277
495,278
505,178
515,132
525,106
535,70
545,46
555,49
565,37
575,23
585,16
595,6
605,10
615,3
625,5
635,1
645,4
655,2
665,1
675,1
685,0
695,0
705,1
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,0
