"Lmids_new",""
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,1
115,0
125,2
135,1
145,2
155,5
165,3
175,7
185,16
195,38
205,110
215,206
225,474
235,744
245,1122
255,1372
265,1814
275,1715
285,1790
295,2112
305,1935
315,1862
325,1784
335,1671
345,1380
355,1363
365,1099
375,1070
385,931
395,893
405,712
415,583
425,604
435,387
445,392
455,368
465,301
475,286
485,253
495,173
505,120
515,142
525,153
535,108
545,82
555,107
565,66
575,46
585,61
595,42
605,39
615,22
625,15
635,17
645,5
655,4
665,6
675,2
685,1
695,1
705,1
715,1
725,0
735,0
745,1
755,0
765,0
775,0
785,0
795,1
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,1
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,0
1245,0
1255,0
1265,0
1275,0
1285,0
1295,0
1305,0
1315,0
1325,0
1335,0
1345,0
1355,0
1365,0
1375,0
1385,0
1395,0
1405,0
1415,0
1425,0
1435,0
1445,0
1455,0
1465,0
1475,0
1485,0
1495,0
1505,0
1515,0
1525,0
1535,0
1545,0
1555,0
1565,0
1575,0
1585,0
1595,0
1605,0
1615,0
1625,0
1635,0
1645,0
1655,0
1665,0
1675,0
1685,0
1695,0
1705,0
