"Lmids_new",""
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,1
115,3
125,2
135,0
145,0
155,2
165,5
175,9
185,11
195,27
205,85
215,146
225,270
235,470
245,716
255,855
265,1128
275,1519
285,1440
295,1791
305,1749
315,1862
325,1599
335,1758
345,1785
355,1606
365,1858
375,1888
385,1851
395,1905
405,1927
415,1964
425,1449
435,1363
445,1066
455,815
465,578
475,566
485,415
495,323
505,187
515,190
525,89
535,49
545,24
555,13
565,17
575,7
585,7
595,1
605,1
615,4
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
