"Lmids_new",""
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,1
175,1
185,1
195,1
205,1
215,2
225,2
235,2
245,1
255,0
265,2
275,4
285,3
295,5
305,4
315,12
325,23
335,12
345,41
355,85
365,256
375,583
385,722
395,734
405,727
415,735
425,585
435,567
445,427
455,474
465,394
475,392
485,297
495,250
505,230
515,182
525,141
535,113
545,80
555,68
565,62
575,33
585,17
595,25
605,18
615,7
625,11
635,6
645,4
655,3
665,0
675,0
685,1
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
