"Lmids_new",""
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,2
155,2
165,2
175,2
185,5
195,2
205,5
215,5
225,8
235,11
245,21
255,12
265,18
275,25
285,35
295,61
305,226
315,859
325,2305
335,2607
345,3541
355,3418
365,3807
375,3675
385,3271
395,3295
405,2668
415,2664
425,2230
435,1943
445,1405
455,1364
465,1132
475,1011
485,809
495,652
505,437
515,418
525,313
535,258
545,180
555,157
565,111
575,86
585,65
595,45
605,28
615,19
625,11
635,13
645,13
655,0
665,5
675,5
685,2
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
