"","STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","IS_RETAINED","SOURCE_CODE"
"1","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",667,"",TRUE,1.3,"",718,NA,NA,1.4645,"RETAINED","BIO"
"2","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",681,"",TRUE,1.6,"",733,NA,NA,1.5529,"RETAINED","BIO"
"3","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",830,"",TRUE,2.6,"",894,NA,NA,2.7145,"RETAINED","BIO"
"4","CALIFORNIA",2021,"08/01/2021",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",703,"",TRUE,1.4,"",757,NA,NA,1.6987,"RETAINED","BIO"
"5","CALIFORNIA",2021,"08/01/2021",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",744,"",TRUE,1.8,"",801,NA,NA,1.9935,"RETAINED","BIO"
"6","CALIFORNIA",2021,"08/08/2021",59,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",639,"",TRUE,1.3,"",688,NA,NA,1.2975,"RETAINED","BIO"
"7","CALIFORNIA",2021,"08/04/2021",37,303,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",743,"",TRUE,1.4,"",800,NA,NA,1.9859,"RETAINED","BIO"
"8","CALIFORNIA",2021,"08/08/2021",37,110,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",753,"",TRUE,1.8,"",811,NA,NA,2.0623,"RETAINED","BIO"
"9","CALIFORNIA",2021,"09/01/2021",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",768,"",TRUE,1.4,"",827,NA,NA,2.1803,"RETAINED","BIO"
"10","CALIFORNIA",2021,"08/16/2021",37,202,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",844,"",TRUE,NA,"",909,NA,NA,2.8457,"RETAINED","BIO"
