Date,Drift ID,Species,Tagger,Fork Length,Unpinched TL,Pinched TL
6/30/22,SWR0630221802,Barred Sand Bass,CC,392,391,409
6/30/22,SWR0630221802,Kelp Bass,JE,282,285,295
6/30/22,SWR0630221803,Ocean Whitefish,CC,432,461,476
6/30/22,SWR0630221803,Kelp Bass,JE,310,316,322
6/30/22,SWR0630221501,Brown Rockfish,Rachel,,229,229
6/30/22,SWR0630221501,Ocean Whitefish,JE,215,223,228
6/30/22,SWR0630221501,Barred Sand Bass,JE,314,320,328
6/30/22,SWR0630221502,Brown Rockfish,CC,235,235,237
6/30/22,SWR0630221502,Brown Rockfish,CC,215,217,218
6/30/22,SWM0630221301,CA Sheephead,CC,495,530,536
6/30/22,SWM0630221301,Brown Rockfish,Rachel,245,245,247
6/30/22,SWM0630221301,Kelp Bass,JE,425,440,442
6/30/22,SWM0630221301,CA Sheephead,Rachel,370,381,390
6/30/22,SWM0630221301,CA Sheephead,CC,329,342,345
6/30/22,SWM0630221302,Ocean Whitefish,CC,322,331,345
6/30/22,SWM0630221302,Ocean Whitefish,JE,265,285,287
6/30/22,SWM0630221303,Ocean Whitefish,CC,261,274,282
6/30/22,SWM0630221303,Brown Rockfish,Rachel,250,250,251
6/30/22,SWM0630221102,Kelp Bass,CC,275,281,284
6/30/22,SWM0630221103,Kelp Bass,CC,300,310,316
6/30/22,SWM0630221103,Kelp Bass,CC,371,383,386
6/30/22,SWM0630221103,Kelp Bass,Rachel,356,365,370
7/1/22,SWM0701221401,Kelp Bass,JE,313,315,322
7/1/22,SWM0701221401,Kelp Bass,Rachel,286,289,299
7/1/22,SWM0701221402,Kelp Bass,CC,314,315,327
7/1/22,SWM0701221403,Kelp Bass,JE,287,296,299
7/1/22,SWM0701221403,Kelp Bass,JE,321,329,331
7/1/22,SWM0701221403,Kelp Bass,Rachel,193,199,203
7/1/22,SWM0701221301,Kelp Bass,JE,444,446,455
7/1/22,SWM0701221301,Ocean Whitefish,Rachel,296,311,319
7/1/22,SWM0701221301,Brown Rockfish,CC,230,231,232
7/1/22,SWM0701221301,Ocean Whitefish,Rachel,307,326,330
7/1/22,SWM0701221301,Ocean Whitefish,JE,314,325,335
7/1/22,SWM0701221301,Brown Rockfish,Rachel,255,255,255
7/1/22,SWM0701221301,Kelp Bass,Rachel,455,471,475
7/1/22,SWM0701221304,Kelp Bass,CC,419,435,439
7/1/22,SWR0701220404,Ocean Whitefish,CC,246,255,262
7/6/22,LJR0706220302,Barred Sand Bass,CC,340,346,355
7/6/22,LJR0706220302,Ocean Whitefish,CC,359,379,392
7/6/22,LJR0706220802,Ocean Whitefish,CC,280,295,300
7/6/22,LJR0706220802,Ocean Whitefish,CC,281,292,300
7/6/22,LJR0706220802,Ocean Whitefish,CC,261,268,277
7/6/22,LJR0706220803,Olive Rockfish,CC,310,318,322
7/6/22,LJM0706221002,Ocean Whitefish,CC,285,292,305
7/6/22,LJM0706221003,Ocean Whitefish,CC,349,360,377
7/7/22,LJM0707221402,Kelp Bass,CC,310,316,321
7/7/22,LJM0707221001,Ocean Whitefish,CC,311,326,332
7/7/22,LJR0707220501,Ocean Whitefish,CC,312,321,337
7/7/22,LJR0707220502,Ocean Whitefish,CC,330,336,350
7/13/22,LJR0713220803,Olive Rockfish,JE,262,271,272
7/13/22,LJM0713221301,Ocean Whitefish,JE,273,278,290
7/13/22,LJM0713221301,Ocean Whitefish,JE,273,281,292
7/13/22,LJM0713221302,Gopher Rockfish,JE,261,263,266
7/13/22,LJM0713221302,CA Sheephead,JE,350,361,374
7/13/22,LJM0713221302,Treefish,JE,340,343,345
7/13/22,LJM0713221302,Ocean Whitefish,JE,340,351,365
7/13/22,LJM0713221302,Gopher Rockfish,JE,267,271,271
7/13/22,LJM0713221302,Gopher Rockfish,JE,250,251,253
7/13/22,LJM0713221302,Ocean Whitefish,JE,309,321,327
7/13/22,LJM0713221303,CA Sheephead,JE,273,279,290
7/13/22,LJM0713221303,CA Sheephead,JE,250,257,261
7/13/22,LJM0713221303,Ocean Whitefish,JE,310,319,334
7/13/22,LJM0713221303,Ocean Whitefish,JE,370,390,401
