"","STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","SOURCE_CODE"
"1","CALIFORNIA",2013,"04/30/2013",73,18,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",480,NA,"T",1.6,NA,480,NA,NA,1.5761,"","","RETAINED","BIO"
"2","CALIFORNIA",2013,"03/03/2013",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",432,NA,"T",1.1,NA,432,NA,NA,1.1345,"","","RETAINED","BIO"
"3","CALIFORNIA",2013,"03/02/2013",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",345,NA,"T",0.53,NA,345,NA,NA,0.5625,"","","RETAINED","BIO"
"4","CALIFORNIA",2013,"03/01/2013",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",358,NA,"T",0.58,NA,358,NA,NA,0.6313,"","","RETAINED","BIO"
"5","CALIFORNIA",2013,"03/26/2013",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",377,NA,"T",0.52,NA,377,NA,NA,0.7418,"","","RETAINED","BIO"
"6","CALIFORNIA",2013,"03/27/2013",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",461,NA,"T",1.43,NA,461,NA,NA,1.3895,"","","RETAINED","BIO"
"7","CALIFORNIA",2013,"03/18/2013",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",368,NA,"T",0.71,NA,368,NA,NA,0.6879,"","","RETAINED","BIO"
"8","CALIFORNIA",2013,"10/01/2013",59,315,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN",NA,"MAN-MADE/JETTY","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",341,NA,"T",0.55,NA,341,NA,NA,0.5424,"","","RETAINED","BIO"
"9","CALIFORNIA",2013,"10/27/2013",59,207,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN",NA,"MAN-MADE/JETTY","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",159,NA,"T",NA,NA,159,NA,NA,0.0502,"","","RETAINED","BIO"
"10","CALIFORNIA",2013,"09/14/2013",73,302,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN",NA,"MAN-MADE/JETTY","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",156,NA,"T",NA,NA,156,NA,NA,0.0473,"","","RETAINED","BIO"
"11","CALIFORNIA",2013,"06/15/2013",37,201,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",330,NA,"T",0.52,NA,330,NA,NA,0.4896,"","","RETAINED","BIO"
"12","CALIFORNIA",2013,"06/22/2013",59,111,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","INLAND",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",322,NA,"T",NA,NA,322,NA,NA,0.4535,"","","RETAINED","BIO"
"13","CALIFORNIA",2013,"10/06/2013",73,211,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",349,NA,"T",NA,NA,349,NA,NA,0.5831,"","","RETAINED","BIO"
"14","CALIFORNIA",2013,"05/26/2013",59,301,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","INSHORE","NOT KNOWN",NA,"MAN-MADE/JETTY","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",320,NA,"T",NA,NA,320,NA,NA,0.4448,"","","RETAINED","BIO"
